user_id,country_code,device_type,date,pnc,num_sessions,sum_eco_score,rolling_count,rolling_score,rolling_average,rank,percentage_rank
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-21,null,0,0,18,113,6.277777777777778,227,0.15694444444444444
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-20,null,0,0,18,113,6.277777777777778,222,0.1535788742182071
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-26,null,0,0,16,105,6.5625,168,0.11589174184594032
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-22,911434883,1,7,18,113,6.277777777777778,221,0.15299026425591097
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-16,911434883,1,7,19,116,6.105263157894737,253,0.17524339360222532
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-19,911434883,1,7,19,118,6.2105263157894735,234,0.16214335421016005
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-23,null,0,0,17,108,6.352941176470588,209,0.14464534075104313
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-18,null,0,0,18,111,6.166666666666667,234,0.16236933797909409
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-17,null,0,0,19,116,6.105263157894737,249,0.17258176757132915
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-15,911434883,1,7,19,114,6,267,0.18510786360473208
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-24,null,0,0,16,103,6.4375,192,0.1326388888888889
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-14,null,0,0,19,114,6,271,0.18828451882845187
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-10,null,0,0,19,112,5.894736842105263,307,0.21443587946741416
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-11,911434883,1,7,19,114,6,271,0.18934081346423562
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-12,911434883,1,7,19,114,6,270,0.1885073580939033
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-13,911434883,1,7,20,121,6.05,265,0.18448637316561844
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-03,null,0,0,19,113,5.947368421052632,287,0.2011251758087201
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-08,911434883,1,7,19,112,5.894736842105263,301,0.2102312543798178
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-09,911434883,1,7,19,112,5.894736842105263,305,0.2130343377715487
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-05,911434883,1,4,19,110,5.7894736842105265,321,0.22424667133847231
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-07,null,0,0,19,110,5.7894736842105265,319,0.22268907563025211
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-02,911434883,1,7,19,113,5.947368421052632,286,0.20084566596194503
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-01,null,0,0,19,113,5.947368421052632,284,0.1995768688293371
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-04,911434883,1,7,19,113,5.947368421052632,290,0.20309205903021785
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-09-06,911434883,1,7,20,117,5.85,302,0.2107843137254902
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-31,911434883,1,5,19,113,5.947368421052632,282,0.1991495393338058
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-30,null,0,0,18,108,6,262,0.18550106609808104
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-29,911434883,1,5,18,108,6,263,0.18674269422665715
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-28,null,0,0,17,103,6.0588235294117645,254,0.1804564907275321
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-27,null,0,0,17,103,6.0588235294117645,257,0.182987848463188
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-26,911434883,1,5,17,103,6.0588235294117645,256,0.18253400143163923
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-25,null,0,0,16,98,6.125,238,0.17050359712230215
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-24,911434883,1,5,16,98,6.125,238,0.1707492795389049
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-22,911434883,1,7,14,88,6.285714285714286,207,0.14970930232558138
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-21,null,0,0,13,81,6.230769230769231,219,0.1591240875912409
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-23,911434883,1,5,15,93,6.2,219,0.157514450867052
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-20,911434883,1,5,13,81,6.230769230769231,218,0.1590909090909091
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-18,911434883,1,5,12,76,6.333333333333333,195,0.1433850702143385
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-19,null,0,0,12,76,6.333333333333333,198,0.14495952906548934
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-17,null,0,0,11,71,6.454545454545454,180,0.1325925925925926
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-16,911434883,1,5,11,71,6.454545454545454,182,0.13467261904761904
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-15,911434883,1,7,10,66,6.6,158,0.1177794448612153
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-14,911434883,1,7,9,59,6.555555555555555,171,0.12859304084720122
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-13,null,0,0,8,52,6.5,175,0.13272311212814644
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-11,911434883,1,5,7,45,6.428571428571429,194,0.14938080495356038
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-12,911434883,1,7,8,52,6.5,178,0.1357361963190184
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-10,null,0,0,6,40,6.666666666666667,169,0.13155833985904464
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-09,911434883,1,7,6,40,6.666666666666667,170,0.13509192645883294
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-08,911434883,1,5,5,33,6.6,177,0.14308943089430895
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-07,911434883,1,7,4,28,7,1,0
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-06,null,0,0,3,21,7,1,0
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-05,911434883,1,7,3,21,7,1,0
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-04,911434883,1,7,2,14,7,1,0
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-03,null,0,0,1,7,7,1,0
2b17209efeb7f9b1aaac1853a8a0e0a22b18e6decadfa1b96ac6a74db098e867,SE,DW,2024-08-02,911434883,1,7,1,7,7,1,0
